Class,Result
person,-35583
couch,-1045
tv,-467
bed,-1294
tie,-4267
cat,-682
bottle,-1857
chair,-4597
teddy bear,-642
bird,-1405
apple,-385
dog,-1338
bench,-1339
frisbee,-181
oven,-461
dining table,-1891
laptop,-394
bicycle,-526
skateboard,-361
baseball glove,-300
backpack,-1536
motorcycle,-488
sheep,-1672
cow,-967
horse,-770
bear,-392
toothbrush,-662
scissors,-528
remote,-786
mouse,-124
banana,-527
knife,-728
bowl,-923
book,-1848
cell phone,-2210
cup,-1496
boat,-492
sink,-422
pizza,-274
toilet,-130
vase,-549
cake,-741
umbrella,-886
kite,-402
handbag,-2750
spoon,-761
bus,-158
car,-1982
traffic light,-356
truck,-628
elephant,-174
potted plant,-705
tennis racket,-173
clock,-565
baseball bat,-571
broccoli,-206
wine glass,-614
orange,-277
sandwich,-247
carrot,-574
fork,-339
suitcase,-473
airplane,-156
donut,-721
skis,-216
hot dog,-329
hair drier,-204
sports ball,-366
parking meter,-123
zebra,-54
snowboard,-96
fire hydrant,-58
surfboard,-263
train,-169
keyboard,-111
stop sign,-105
refrigerator,-278
giraffe,-69
toaster,-21
microwave,-97
