Image,Detected_Classes,Class_Frequencies
img/16395.png,['person'],{'person': 1}
img/37405.png,"['person', 'cup', 'cell phone', 'clock', 'car']","{'person': 4, 'cup': 1, 'cell phone': 4, 'clock': 1, 'car': 1}"
img/94180.png,"['person', 'tie']","{'person': 1, 'tie': 2}"
img/54321.png,"['person', 'handbag', 'backpack']","{'person': 2, 'handbag': 1, 'backpack': 1}"
img/97015.png,"['person', 'donut', 'teddy bear', 'cow', 'dog']","{'person': 11, 'donut': 3, 'teddy bear': 1, 'cow': 1, 'dog': 1}"
img/73506.png,"['person', 'backpack', 'handbag', 'umbrella', 'book', 'cell phone']","{'person': 5, 'backpack': 4, 'handbag': 2, 'umbrella': 1, 'book': 1, 'cell phone': 2}"
img/05429.png,"['person', 'tie', 'couch', 'bed', 'cell phone', 'cup', 'frisbee', 'chair', 'cake', 'book', 'surfboard', 'handbag', 'wine glass']","{'person': 4, 'tie': 2, 'couch': 3, 'bed': 3, 'cell phone': 3, 'cup': 1, 'frisbee': 1, 'chair': 2, 'cake': 1, 'book': 1, 'surfboard': 1, 'handbag': 1, 'wine glass': 1}"
img/70691.png,"['teddy bear', 'carrot', 'bed', 'apple']","{'teddy bear': 13, 'carrot': 1, 'bed': 1, 'apple': 2}"
img/69421.png,"['person', 'tie', 'backpack', 'handbag']","{'person': 10, 'tie': 6, 'backpack': 3, 'handbag': 2}"
img/50162.png,"['person', 'scissors', 'chair', 'train', 'baseball bat', 'clock', 'toothbrush']","{'person': 3, 'scissors': 2, 'chair': 1, 'train': 1, 'baseball bat': 1, 'clock': 1, 'toothbrush': 1}"
img/43728.png,"['dog', 'cell phone', 'person']","{'dog': 1, 'cell phone': 1, 'person': 1}"
img/75081.png,['person'],{'person': 1}
img/47829.png,"['person', 'sheep', 'cow', 'horse', 'giraffe', 'elephant', 'dog']","{'person': 2, 'sheep': 2, 'cow': 1, 'horse': 2, 'giraffe': 1, 'elephant': 1, 'dog': 1}"
img/35279.png,"['person', 'kite', 'bird']","{'person': 1, 'kite': 1, 'bird': 1}"
img/54920.png,"['person', 'surfboard', 'refrigerator', 'backpack', 'chair', 'boat']","{'person': 1, 'surfboard': 1, 'refrigerator': 2, 'backpack': 1, 'chair': 1, 'boat': 1}"
img/39867.png,"['person', 'kite', 'baseball bat', 'umbrella', 'cell phone', 'scissors', 'knife']","{'person': 1, 'kite': 2, 'baseball bat': 3, 'umbrella': 2, 'cell phone': 1, 'scissors': 1, 'knife': 1}"
img/96082.png,"['person', 'bed', 'baseball glove', 'toilet', 'frisbee']","{'person': 7, 'bed': 5, 'baseball glove': 2, 'toilet': 1, 'frisbee': 1}"
img/38045.png,"['cat', 'tie']","{'cat': 1, 'tie': 2}"
img/62134.png,"['person', 'car', 'truck', 'bus', 'donut', 'boat']","{'person': 2, 'car': 7, 'truck': 1, 'bus': 1, 'donut': 1, 'boat': 1}"
img/81970.png,['person'],{'person': 1}
img/01865.png,['person'],{'person': 1}
img/86139.png,['person'],{'person': 1}
img/38765.png,"['person', 'tie', 'kite', 'chair', 'bed', 'umbrella', 'handbag', 'clock', 'backpack', 'dining table', 'cake', 'knife', 'bench', 'horse', 'bottle']","{'person': 10, 'tie': 2, 'kite': 4, 'chair': 8, 'bed': 3, 'umbrella': 2, 'handbag': 4, 'clock': 2, 'backpack': 2, 'dining table': 6, 'cake': 1, 'knife': 2, 'bench': 2, 'horse': 1, 'bottle': 1}"
img/15306.png,"['person', 'baseball glove', 'zebra', 'bird', 'handbag', 'cell phone', 'motorcycle']","{'person': 2, 'baseball glove': 5, 'zebra': 1, 'bird': 1, 'handbag': 2, 'cell phone': 1, 'motorcycle': 1}"
img/17209.png,"['person', 'stop sign', 'umbrella', 'traffic light', 'cell phone', 'book']","{'person': 41, 'stop sign': 1, 'umbrella': 1, 'traffic light': 1, 'cell phone': 1, 'book': 1}"
img/96185.png,['person'],{'person': 1}
img/93875.png,['person'],{'person': 1}
img/57286.png,['person'],{'person': 1}
img/08261.png,"['person', 'tie', 'knife']","{'person': 1, 'tie': 2, 'knife': 1}"
img/60823.png,"['person', 'tie', 'bench', 'chair', 'dining table']","{'person': 3, 'tie': 4, 'bench': 6, 'chair': 3, 'dining table': 1}"
img/83720.png,"['person', 'dog']","{'person': 5, 'dog': 1}"
img/89432.png,['person'],{'person': 1}
img/89607.png,"['person', 'backpack', 'car', 'motorcycle', 'truck', 'bus', 'handbag', 'traffic light', 'clock']","{'person': 13, 'backpack': 6, 'car': 15, 'motorcycle': 1, 'truck': 5, 'bus': 1, 'handbag': 4, 'traffic light': 1, 'clock': 1}"
img/14267.png,"['person', 'tie']","{'person': 1, 'tie': 1}"
img/82749.png,"['person', 'tv']","{'person': 3, 'tv': 1}"
img/70643.png,"['person', 'skateboard', 'skis', 'bed', 'baseball glove', 'baseball bat', 'handbag', 'tie', 'scissors', 'cup', 'snowboard', 'toothbrush', 'kite', 'book', 'tennis racket', 'cake']","{'person': 1, 'skateboard': 2, 'skis': 1, 'bed': 1, 'baseball glove': 1, 'baseball bat': 3, 'handbag': 1, 'tie': 1, 'scissors': 1, 'cup': 1, 'snowboard': 2, 'toothbrush': 1, 'kite': 1, 'book': 1, 'tennis racket': 1, 'cake': 1}"
img/12785.png,['person'],{'person': 3}
img/86394.png,"['chair', 'person', 'dining table', 'laptop', 'book', 'tv', 'cell phone', 'bench']","{'chair': 10, 'person': 1, 'dining table': 7, 'laptop': 4, 'book': 9, 'tv': 2, 'cell phone': 1, 'bench': 1}"
img/63491.png,['person'],{'person': 1}
img/98026.png,"['person', 'bowl', 'hot dog', 'sheep', 'cake', 'bed', 'dining table', 'donut']","{'person': 1, 'bowl': 2, 'hot dog': 2, 'sheep': 1, 'cake': 1, 'bed': 1, 'dining table': 1, 'donut': 1}"
img/89263.png,"['person', 'handbag', 'suitcase', 'car', 'backpack', 'umbrella']","{'person': 5, 'handbag': 2, 'suitcase': 5, 'car': 2, 'backpack': 2, 'umbrella': 1}"
img/42975.png,"['person', 'umbrella', 'bird', 'vase']","{'person': 1, 'umbrella': 1, 'bird': 1, 'vase': 1}"
