Image,Detected_Classes,Class_Frequencies
img/42953.png,"['person', 'couch', 'tv', 'bed', 'tie']","{'person': 3, 'couch': 1, 'tv': 1, 'bed': 1, 'tie': 1}"
img/23058.png,"['person', 'tie']","{'person': 5, 'tie': 2}"
img/13894.png,"['cat', 'tie', 'person', 'couch', 'bottle', 'bed', 'chair', 'teddy bear', 'bird', 'apple', 'tv', 'dog', 'bench', 'frisbee']","{'cat': 2, 'tie': 6, 'person': 2, 'couch': 2, 'bottle': 1, 'bed': 2, 'chair': 1, 'teddy bear': 1, 'bird': 1, 'apple': 1, 'tv': 1, 'dog': 1, 'bench': 1, 'frisbee': 1}"
img/37408.png,['dog'],{'dog': 2}
img/82403.png,"['person', 'tie', 'oven', 'chair', 'dining table']","{'person': 2, 'tie': 2, 'oven': 3, 'chair': 1, 'dining table': 1}"
img/16952.png,"['person', 'laptop', 'bottle', 'chair', 'bicycle', 'bench', 'dog', 'skateboard', 'baseball glove', 'backpack', 'motorcycle']","{'person': 51, 'laptop': 1, 'bottle': 1, 'chair': 6, 'bicycle': 2, 'bench': 3, 'dog': 1, 'skateboard': 1, 'baseball glove': 1, 'backpack': 1, 'motorcycle': 1}"
img/76932.png,"['sheep', 'dog', 'cow', 'horse', 'bear']","{'sheep': 2, 'dog': 2, 'cow': 2, 'horse': 1, 'bear': 1}"
img/70914.png,"['person', 'remote']","{'person': 2, 'remote': 1}"
img/02973.png,"['dog', 'toothbrush', 'cat', 'bicycle', 'scissors']","{'dog': 1, 'toothbrush': 1, 'cat': 1, 'bicycle': 1, 'scissors': 1}"
img/58306.png,"['person', 'tie']","{'person': 9, 'tie': 4}"
img/79351.png,"['person', 'tie', 'handbag']","{'person': 1, 'tie': 2, 'handbag': 1}"
img/34096.png,"['frisbee', 'remote', 'mouse', 'banana', 'dining table', 'knife', 'bowl', 'book', 'cell phone', 'cup', 'scissors', 'bottle', 'skateboard']","{'frisbee': 1, 'remote': 5, 'mouse': 1, 'banana': 3, 'dining table': 1, 'knife': 4, 'bowl': 1, 'book': 1, 'cell phone': 4, 'cup': 1, 'scissors': 1, 'bottle': 1, 'skateboard': 1}"
img/25489.png,"['person', 'motorcycle', 'bicycle', 'parking meter', 'book', 'clock']","{'person': 1, 'motorcycle': 1, 'bicycle': 2, 'parking meter': 1, 'book': 1, 'clock': 1}"
img/19324.png,"['person', 'book', 'dining table', 'dog', 'chair', 'couch', 'cup', 'tv', 'boat', 'cat', 'laptop', 'bowl', 'teddy bear', 'oven', 'remote', 'sink', 'cell phone', 'pizza', 'toilet', 'bed', 'vase', 'cake']","{'person': 12, 'book': 42, 'dining table': 6, 'dog': 3, 'chair': 8, 'couch': 7, 'cup': 1, 'tv': 1, 'boat': 1, 'cat': 1, 'laptop': 2, 'bowl': 2, 'teddy bear': 1, 'oven': 1, 'remote': 1, 'sink': 2, 'cell phone': 1, 'pizza': 2, 'toilet': 1, 'bed': 1, 'vase': 1, 'cake': 1}"
img/79346.png,"['person', 'bed']","{'person': 5, 'bed': 1}"
img/13426.png,"['person', 'umbrella', 'kite', 'tie', 'backpack', 'handbag', 'apple']","{'person': 66, 'umbrella': 4, 'kite': 4, 'tie': 1, 'backpack': 4, 'handbag': 4, 'apple': 1}"
img/97628.png,"['person', 'couch', 'bed', 'chair', 'umbrella', 'dining table', 'vase', 'book']","{'person': 4, 'couch': 3, 'bed': 3, 'chair': 3, 'umbrella': 1, 'dining table': 1, 'vase': 1, 'book': 1}"
img/14238.png,"['person', 'remote', 'toothbrush', 'cell phone', 'spoon']","{'person': 1, 'remote': 1, 'toothbrush': 1, 'cell phone': 1, 'spoon': 1}"
img/28936.png,"['person', 'couch', 'cup', 'chair', 'cell phone', 'bottle', 'vase']","{'person': 1, 'couch': 4, 'cup': 1, 'chair': 5, 'cell phone': 2, 'bottle': 3, 'vase': 1}"
img/59784.png,"['person', 'bus', 'car', 'traffic light', 'truck']","{'person': 9, 'bus': 1, 'car': 8, 'traffic light': 22, 'truck': 1}"
img/02146.png,['bird'],{'bird': 5}
img/70146.png,"['dog', 'cow', 'horse', 'person', 'baseball glove', 'sheep', 'elephant', 'backpack']","{'dog': 2, 'cow': 1, 'horse': 1, 'person': 1, 'baseball glove': 1, 'sheep': 1, 'elephant': 1, 'backpack': 1}"
img/28061.png,"['person', 'chair', 'bench', 'potted plant', 'skateboard', 'frisbee', 'handbag', 'tennis racket', 'bicycle']","{'person': 5, 'chair': 1, 'bench': 1, 'potted plant': 2, 'skateboard': 1, 'frisbee': 1, 'handbag': 1, 'tennis racket': 1, 'bicycle': 1}"
img/97180.png,"['person', 'tie', 'chair', 'bench']","{'person': 5, 'tie': 6, 'chair': 1, 'bench': 2}"
img/49752.png,"['person', 'tie', 'couch', 'cup', 'chair', 'cell phone', 'bed']","{'person': 1, 'tie': 2, 'couch': 3, 'cup': 1, 'chair': 1, 'cell phone': 1, 'bed': 1}"
img/25610.png,"['person', 'clock', 'tie', 'scissors']","{'person': 1, 'clock': 1, 'tie': 1, 'scissors': 1}"
img/15872.png,"['person', 'tie', 'tv', 'bus', 'oven', 'truck']","{'person': 1, 'tie': 1, 'tv': 1, 'bus': 1, 'oven': 1, 'truck': 1}"
img/72640.png,['person'],{'person': 3}
img/64318.png,"['person', 'handbag', 'remote', 'cake', 'cup', 'bowl', 'bottle', 'cell phone']","{'person': 14, 'handbag': 1, 'remote': 2, 'cake': 1, 'cup': 1, 'bowl': 1, 'bottle': 2, 'cell phone': 2}"
img/17956.png,"['tie', 'person', 'handbag', 'chair']","{'tie': 1, 'person': 1, 'handbag': 1, 'chair': 1}"
img/93547.png,"['person', 'bottle', 'wine glass', 'cup', 'book', 'oven', 'bowl', 'chair', 'car', 'vase', 'teddy bear', 'cake', 'potted plant', 'clock']","{'person': 5, 'bottle': 27, 'wine glass': 11, 'cup': 18, 'book': 11, 'oven': 9, 'bowl': 2, 'chair': 5, 'car': 1, 'vase': 3, 'teddy bear': 1, 'cake': 2, 'potted plant': 1, 'clock': 1}"
img/10743.png,"['person', 'umbrella', 'knife', 'cow', 'car', 'teddy bear', 'bed', 'scissors', 'horse', 'dog', 'toothbrush', 'baseball bat', 'sheep']","{'person': 10, 'umbrella': 8, 'knife': 1, 'cow': 1, 'car': 6, 'teddy bear': 3, 'bed': 1, 'scissors': 1, 'horse': 1, 'dog': 1, 'toothbrush': 1, 'baseball bat': 1, 'sheep': 2}"
img/37091.png,"['person', 'bottle', 'knife', 'cup', 'mouse', 'bowl', 'pizza', 'vase', 'broccoli', 'apple', 'spoon', 'wine glass', 'dining table', 'orange', 'sandwich', 'bicycle', 'carrot', 'clock']","{'person': 1, 'bottle': 5, 'knife': 3, 'cup': 10, 'mouse': 2, 'bowl': 8, 'pizza': 1, 'vase': 4, 'broccoli': 2, 'apple': 2, 'spoon': 1, 'wine glass': 3, 'dining table': 2, 'orange': 1, 'sandwich': 1, 'bicycle': 1, 'carrot': 3, 'clock': 1}"
img/25719.png,"['person', 'car', 'chair', 'potted plant', 'vase', 'dining table']","{'person': 1, 'car': 5, 'chair': 4, 'potted plant': 6, 'vase': 1, 'dining table': 2}"
img/76825.png,"['person', 'handbag', 'backpack', 'baseball glove']","{'person': 17, 'handbag': 11, 'backpack': 2, 'baseball glove': 1}"
img/72598.png,"['person', 'chair', 'baseball bat', 'cell phone', 'handbag', 'backpack', 'tennis racket']","{'person': 14, 'chair': 4, 'baseball bat': 4, 'cell phone': 3, 'handbag': 1, 'backpack': 1, 'tennis racket': 1}"
img/43078.png,"['person', 'book', 'dining table', 'laptop', 'chair', 'spoon', 'bowl', 'bed', 'bottle', 'tie', 'clock', 'cup']","{'person': 6, 'book': 5, 'dining table': 4, 'laptop': 1, 'chair': 1, 'spoon': 3, 'bowl': 1, 'bed': 1, 'bottle': 2, 'tie': 1, 'clock': 1, 'cup': 1}"
img/51846.png,"['cat', 'teddy bear', 'dog']","{'cat': 3, 'teddy bear': 1, 'dog': 1}"
img/01569.png,"['person', 'bowl', 'chair', 'vase', 'potted plant', 'spoon', 'dining table', 'cell phone', 'cup', 'sink', 'fork', 'wine glass', 'scissors']","{'person': 11, 'bowl': 2, 'chair': 5, 'vase': 2, 'potted plant': 1, 'spoon': 3, 'dining table': 4, 'cell phone': 4, 'cup': 1, 'sink': 1, 'fork': 2, 'wine glass': 1, 'scissors': 1}"
img/95812.png,['person'],{'person': 1}
img/06418.png,"['person', 'chair', 'suitcase', 'couch', 'bed', 'cell phone', 'handbag', 'baseball glove']","{'person': 6, 'chair': 4, 'suitcase': 1, 'couch': 2, 'bed': 2, 'cell phone': 1, 'handbag': 1, 'baseball glove': 1}"
img/53976.png,"['person', 'tie', 'chair', 'baseball glove', 'bench']","{'person': 1, 'tie': 1, 'chair': 2, 'baseball glove': 1, 'bench': 1}"
img/70193.png,"['person', 'tie', 'teddy bear', 'bottle']","{'person': 2, 'tie': 1, 'teddy bear': 1, 'bottle': 1}"
img/60427.png,"['cat', 'bed', 'couch']","{'cat': 1, 'bed': 2, 'couch': 3}"
img/78395.png,"['person', 'tie', 'handbag', 'spoon', 'chair', 'backpack', 'vase', 'tennis racket', 'baseball bat']","{'person': 4, 'tie': 4, 'handbag': 1, 'spoon': 6, 'chair': 1, 'backpack': 1, 'vase': 1, 'tennis racket': 1, 'baseball bat': 1}"
img/04876.png,[],{}
img/92075.png,"['person', 'tv', 'laptop', 'cell phone']","{'person': 3, 'tv': 1, 'laptop': 2, 'cell phone': 2}"
img/86354.png,"['tie', 'airplane', 'cell phone']","{'tie': 1, 'airplane': 1, 'cell phone': 1}"
img/74386.png,"['potted plant', 'chair', 'person', 'vase']","{'potted plant': 2, 'chair': 4, 'person': 1, 'vase': 1}"
img/59613.png,"['person', 'remote', 'book', 'toothbrush', 'cell phone', 'chair', 'bench', 'bottle']","{'person': 1, 'remote': 1, 'book': 1, 'toothbrush': 1, 'cell phone': 1, 'chair': 1, 'bench': 1, 'bottle': 2}"
