Image,Detected_Classes,Class_Frequencies
img/42953.png,"['person', 'couch', 'dining table', 'bowl', 'chair', 'tv', 'bed', 'tie', 'cup']","{'person': 3, 'couch': 1, 'dining table': 2, 'bowl': 2, 'chair': 2, 'tv': 1, 'bed': 1, 'tie': 1, 'cup': 1}"
img/23058.png,"['person', 'tie', 'dining table', 'chair', 'cake', 'cup']","{'person': 7, 'tie': 1, 'dining table': 2, 'chair': 1, 'cake': 1, 'cup': 1}"
img/13894.png,"['cat', 'tie', 'person', 'couch', 'bed', 'chair', 'bottle', 'teddy bear', 'bird', 'apple', 'tv', 'dog', 'bench', 'frisbee']","{'cat': 2, 'tie': 5, 'person': 2, 'couch': 2, 'bed': 2, 'chair': 1, 'bottle': 1, 'teddy bear': 1, 'bird': 1, 'apple': 1, 'tv': 1, 'dog': 1, 'bench': 1, 'frisbee': 1}"
img/37408.png,"['dog', 'bed']","{'dog': 3, 'bed': 1}"
img/82403.png,"['person', 'tie', 'oven', 'chair', 'train', 'dining table', 'tv']","{'person': 3, 'tie': 3, 'oven': 3, 'chair': 1, 'train': 1, 'dining table': 2, 'tv': 1}"
img/16952.png,"['person', 'dining table', 'laptop', 'bottle', 'chair', 'bench', 'bicycle', 'baseball glove', 'dog', 'skateboard', 'backpack']","{'person': 50, 'dining table': 3, 'laptop': 1, 'bottle': 1, 'chair': 6, 'bench': 3, 'bicycle': 2, 'baseball glove': 1, 'dog': 1, 'skateboard': 1, 'backpack': 1}"
img/76932.png,"['dog', 'cow', 'bird', 'cat', 'sheep', 'bear', 'horse']","{'dog': 2, 'cow': 1, 'bird': 1, 'cat': 1, 'sheep': 3, 'bear': 2, 'horse': 1}"
img/70914.png,"['person', 'remote', 'dining table']","{'person': 2, 'remote': 1, 'dining table': 1}"
img/02973.png,"['dog', 'cat', 'toothbrush', 'chair']","{'dog': 1, 'cat': 1, 'toothbrush': 1, 'chair': 1}"
img/58306.png,"['person', 'tie', 'tv', 'laptop', 'remote', 'chair']","{'person': 7, 'tie': 4, 'tv': 2, 'laptop': 1, 'remote': 1, 'chair': 1}"
img/79351.png,"['person', 'tie', 'dining table', 'sink', 'chair', 'cup']","{'person': 1, 'tie': 1, 'dining table': 2, 'sink': 1, 'chair': 2, 'cup': 1}"
